nAC15324	nAC15324
nAC15356	nAC15356
nAC15420	nAC15420
nAC15453	nAC15453
nAC15486	nAC15486
nAC15623	nAC15623
nAC15623	nAC15624
nAC15697	nAC15697
nAC15697	nAC6313
nAC15744	nAC15744
nAC15834	nAC15834
nAC15970	nAC15970
nAC16013	nAC16013
nAC16013	nAC6513
nAC16135	nAC16135
nAC16173	nAC16173
nAC16214	nAC16214
nAC16246	nAC16246
nAC16338	nAC16338
nAC16373	nAC16373
nAC16407	nAC16407
nAC16481	nAC16481
nAC16517	nAC16517
nAC16517	nAC7066
nAC16559	nAC16559
nAC16637	nAC16637
nAC16781	nAC16781
nAC16834	nAC16834
nAC16834	nAC8051
nAC16875	nAC16875
nAC16875	nAC16876
nAC16916	nAC16916
nAC16960	nAC16960
nAC16960	nAC8149
nAC17004	nAC17004
nAC17055	nAC17055
nAC17119	nAC17119
nAC17209	nAC17209
nAC17209	nAC16904
nAC17209	nAC17421
nAC17209	nAC11907
nAC17209	nAC17301
nAC17379	nAC17379
nAC17464	nAC17464
nAC17464	nAC8602
nAC17464	nAC1363
nAC17464	nAC6965
nAC17464	nAC6956
nAC17464	nAC6960
nAC17464	nAC6961
nAC17464	nAC6962
nAC17464	nAC6963
nAC17464	nAC6964
nAC17464	nAC6966
nAC17464	nAC6967
nAC17464	nAC6968
nAC17496	nAC17496
nAC17539	nAC17539
nAC17578	nAC17578
nAC17614	nAC17614
nAC17730	nAC17730
nAC17776	nAC17776
nAC7432	nAC7432
nAC7464	nAC7464
nAC7464	nAC7465
nAC7496	nAC7496
nAC7496	nAC7558
nAC7496	nAC7495
nAC7496	nAC7559
nAC7528	nAC7528
nAC7528	nAC16557
nAC7528	nAC16558
nAC7528	nAC7527
nAC7528	nAC17566
nAC7560	nAC7560
nAC7594	nAC7594
nAC7594	nAC7629
nAC7594	nAC7716
nAC7594	nAC7595
nAC7594	nAC7627
nAC7594	nAC16640
nAC7690	nAC7690
nAC7789	nAC7789
nAC7789	nAC7838
nAC7917	nAC7917
nAC7917	nAC7918
nAC7949	nAC7949
nAC8045	nAC8045
nAC8045	nAC17490
nAC8220	nAC8220
nAC8254	nAC8254
nAC8392	nAC8392
nAC8392	nAC8409
nAC8392	nAC8131
nAC8554	nAC8554
nAC8554	nAC7983
nAC8554	nAC16776
nAC8685	nAC8685
nAC8717	nAC8717
nAC8717	nAC17624
nAC8749	nAC8749
nAC8749	nAC17607
nAC8813	nAC8813
nAC8813	nAC8814
nAC8813	nAC8815
nAC8845	nAC8845
nAC8845	nAC17644
nAC8877	nAC8877
nAC8877	nAC8852
nAC8909	nAC8909
nAC8909	nAC17972
nAC8909	nAC8910
nAC8973	nAC8973
nAC8973	nAC9694
nAC8973	nAC9154
nAC8973	nAC8975
nAC8973	nAC10113
nAC8973	nAC18263
nAC9074	nAC9074
nAC9138	nAC9138
nAC9138	nAC18751
nAC9258	nAC9258
nAC9290	nAC9290
nAC9290	nAC17839
nAC9522	nAC9522
nAC9522	nAC21040
nAC9522	nAC10303
nAC9522	nAC957
nAC9522	nAC12954
nAC9522	nAC1947
nAC9562	nAC9562
nAC9562	nAC9620
nAC9562	nAC18385
nAC9716	nAC9716
nAC9716	nAC9720
nAC9716	nAC9165
nAC9716	nAC9712
nAC9716	nAC9122
nAC9814	nAC9814
nAC9882	nAC9882
nAC9882	nAC18805
nAC9882	nAC9877
nAC9915	nAC9915
nAC9915	nAC9922
nAC9947	nAC9947
nAC9947	nAC8715
nAC10012	nAC10012
nAC10012	nAC10009
nAC10012	nAC10013
nAC10046	nAC10046
